"Genus","ACM01","ACM07","ACM11","ACM14","ACM16","ACM21","ACM22","ACS01","ACS02","ACS03","ACS05","ACS07","ACS13","ACS15","ACS16","ACS19","ACS21","ACW01","ACW02","ACW06","ACW09","ACW10","ACW16","ACW19","ACW20","APM02","APM19","APM21","APW05","APW06","TCM01","TCM02","TCM03","TCM04","TCM05","TCM06","TCM09","TCM10","TCM12","TCM13","TCS04","TCS06","TCS09","TCS10","TCS11","TCS13","TCS16","TCS17","TCW01","TCW02","TCW03","TCW07","TCW09","TCW11","TCW12","TCW13","TCW14","TCW17","TPS03","TPS13"
"Aliarcobacter",0,0,861.733491056108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alicycliphilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509.757681129015,515.057929886136,0,0,0
"Aliicoccus",0,0,0,0,0,0,1307.90729406506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063.02830739754,0,0,0,0,0,0,0,0,1476.20716727817,493.894203369796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allonocardiopsis",0,0,0,0,0,0,0,4084.3591390957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000.47587373563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloprevotella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618.997838425464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allorhizocola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3996.77966275059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alphabaculovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1651.76261929121
"Alsobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482.49262569007,0,9056.81903260685,0,0,0,0,0,0,0,640.320234820973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1102.26542651395,0,0,0,0,601.067368857022,0,0,0,0
"Altererythrobacter",5693.81743746736,1576.38325039672,0,0,0,0,932.067536081495,0,0,0,0,0,0,0,2453.33914045073,2382.73675928955,0,0,0,0,0,0,0,0,0,0,0,0,3551.71551878219,0,2582.44439310733,0,0,11373.5525801358,0,0,0,0,0,0,0,0,1949.02782126676,0,0,0,0,0,0,0,0,0,0,0,0,3454.65933641429,0,0,0,0
"ALYD_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810.17174415376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amauroascus",2844.70806783025,792.101305878908,0,0,0,0,0,0,2195.28356409938,2891.85789533831,0,0,6309.2439007762,0,1486.91328015163,0,0,0,0,1013.95951208059,1464.48877393627,2932.2042136092,0,0,0,0,0,0,1046.45287464667,0,1171.26002750609,0,0,1001.04155281399,0,0,0,0,0,0,0,2174.37478508255,1502.88106549961,2411.28910798726,1458.18466136628,0,0,0,0,0,0,0,784.455803683623,2821.67659562548,0,0,0,675.555447574093,2184.09717299363,0
"Anaeromyxobacter",3035.43114612728,0,0,0,0,0,0,1572.93683240474,0,10182.2143032949,12900.456302392,4106.96252322295,12194.4709047342,13614.3282979365,0,0,7607.77779085064,0,0,0,0,2148.36440362014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6558.99515123111,1626.29916198754,0,3300.00270876305,1419.67804765404,3068.84269384214,4567.626572121,4622.00987722609,0,0,0,0,0,0,0,0,0,0,1902.00573611046,7334.97286580137
"Anaerotignum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2116.91393463419,1027.67219166851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerovibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390.257437491703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AP014683_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663.194060163122,0,0,0
"AP018536_g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.963039837231,566.349745990668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aquabacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13573.7385910195,0,0,49408.4392047887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686.796150366385,0,0,9550.88878022748,0,0,1660.26416779668,0,0,0
"Aquamicrobium",0,0,0,0,0,0,999.854265978331,0,0,0,0,0,0,0,0,0,0,0,713.551395661814,0,0,0,0,0,0,0,516.649359021549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aquidulcibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.808006512701,0,0
"Aquincola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572.033364608054,0,0,0
"Aquisphaera",0,0,0,0,0,0,0,1002.55877975957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2978.05981395875,0,0,0,1011.3052759163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132.50069654392
"Aquitalea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26410.0159806167,0,0
"Arcicella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568.098876821253,0,0,0,0,0,0,0
"Arcobacter",0,0,421.040482499425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arenimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709.851210838385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arthrobacter",0,0,355.532062308567,8907.39097289063,1888.78619263307,0,0,0,4061.27459358386,0,0,0,0,0,2666.14259075502,0,0,0,8808.61277703979,0,0,4510.04158490468,4140.94016225409,0,6798.52978700616,2281.27179096724,618.994094336199,376.050147230816,0,0,0,0,0,0,0,0,1531.74593618553,2008.57886653761,0,0,0,0,0,0,1314.29152591527,4941.775674464,0,0,0,0,0,0,0,2167.82601898399,0,0,0,0,0,0
"Asanoa",0,0,0,0,0,0,0,0,5393.85023073892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asinibacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1510.38626648476,0,0,0,0,0,0,0,0,0
"Asteriusvirus",0,0,1665.10493503309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4722.97607495276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobium",0,0,0,0,0,465.371579149398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atopostipes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753.840149671784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aurantimicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22653.1023531374,0,0,0,0,0,45175.4118353095,11529.3261101744,0,0,0,0
"Auraticoccus",0,0,0,0,0,0,440.237151385563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aureimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688.300147641819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aviadenovirus",0,10884.551014644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azohydromonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730.457497368682,0,0,0,0,903.295009267496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2387.27071484835,0,0,0
"Azonexus",0,0,6004.14447603848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azovibrio",0,0,699.15350276425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus",0,0,0,0,0,0,0,0,0,0,0,0,2113.70829015393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396.84408436609,0,0,0,0,0
"Bacteroides",0,2240.24702995367,1469.7707366458,0,0,5934.15245069646,354.373960182904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13149.3775578451,0,0,0,0,0,4911.87241555841,0,0,12004.4509707915,5192.86879774542,5158.07996934535,711.764860088495,1641.4479607343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
